scenario, sigma, T, run, loss, error
Cube,0.05,50,0,0.387952717835,0.0
Cube,0.05,50,1,0.398088155995,0.0
Cube,0.05,50,2,0.381625784554,0.0
Cube,0.05,50,3,0.367511212886,0.0
Cube,0.05,50,4,0.407779818697,0.0
Cube,0.05,50,5,0.375748063837,0.0
Cube,0.05,50,6,0.37972384236,0.0
Cube,0.05,50,7,0.371173279463,0.0
Cube,0.05,50,8,0.38438163296,0.0
Cube,0.05,50,9,0.379994788583,0.0
Cube,0.05,50,10,0.371022124701,0.0
Cube,0.05,50,11,0.396041414784,0.0
Cube,0.05,50,12,0.395930922252,0.0
Cube,0.05,50,13,0.369200011048,0.0
Cube,0.05,50,14,0.376702765221,0.0
Cube,0.05,50,15,0.378201872008,0.0
Cube,0.05,50,16,0.370600924806,0.0
Cube,0.05,50,17,0.375254061449,0.0
Cube,0.05,50,18,0.374710388173,0.0
Cube,0.05,50,19,0.379669230235,0.0
Cube,0.05,50,20,0.391670504109,0.0
Cube,0.05,50,21,0.376111090975,0.0
Cube,0.05,50,22,0.374614526889,0.0
Cube,0.05,50,23,0.381045037471,0.0
Cube,0.05,50,24,0.409021729998,0.0
Cube,0.05,50,25,0.370950071713,0.0
Cube,0.05,50,26,0.375670335968,0.0
Cube,0.05,50,27,0.37463267294,0.0
Cube,0.05,50,28,0.409234307143,0.0
Cube,0.05,50,29,0.372757186173,0.0
Cube,0.05,100,0,0.353568524079,0.0
Cube,0.05,100,1,0.354311964866,0.0
Cube,0.05,100,2,0.369535308759,0.0
Cube,0.05,100,3,0.352639345845,0.0
Cube,0.05,100,4,0.369068125543,0.0
Cube,0.05,100,5,0.354221220608,0.0
Cube,0.05,100,6,0.362484289599,0.0
Cube,0.05,100,7,0.364209946012,0.0
Cube,0.05,100,8,0.396297036122,0.0
Cube,0.05,100,9,0.354195465648,0.0
Cube,0.05,100,10,0.365338819164,0.0
Cube,0.05,100,11,0.360821119811,0.0
Cube,0.05,100,12,0.352574371031,0.0
Cube,0.05,100,13,0.394226032772,0.0
Cube,0.05,100,14,0.382709820633,0.0
Cube,0.05,100,15,0.355748640512,0.0
Cube,0.05,100,16,0.354238891463,0.0
Cube,0.05,100,17,0.359504983662,0.0
Cube,0.05,100,18,0.362142962134,0.0
Cube,0.05,100,19,0.354454813969,0.0
Cube,0.05,100,20,0.352228194777,0.0
Cube,0.05,100,21,0.359367557828,0.0
Cube,0.05,100,22,0.35868244464,0.0
Cube,0.05,100,23,0.353048071858,0.0
